Hostname,IP_Address,BGP_Configured
rDWSEkit05,10.230.255.33,Yes
rAWCHzur01,10.102.255.55,Yes
rAWGBcry01,10.115.255.148,Yes
rAWGBcry09,10.115.255.149,Yes
rAWPLlbl01,10.99.255.214,Yes
rIWDEfra01,192.168.255.201,Yes
rAWGRmak01,10.124.255.116,Yes
rIWDEfra02,192.168.255.202,Yes
rIWDEfra04,192.168.255.204,Yes
rAWITmon02,10.121.255.33,Yes
rAWGRate01,10.108.255.77,Yes
rAWGRate09,10.108.255.78,Yes
rAWATvik09,10.122.255.2,Yes
rAWATvik01,10.122.255.1,Yes
rAWBEles01,10.101.255.1,Yes
rAWCZpra05,10.99.255.60,Yes
rAWCZpra09,10.99.255.61,Yes
rAWCZpra01,10.99.255.62,Yes
rAWMAmco01,10.124.255.82,Yes
rAWFRjon02,10.105.255.63,Yes
rAWFIhel01,10.107.255.30,Yes
rAWFRmop01,10.105.255.73,Yes
rAWFRjon01,10.105.255.60,Yes
rAWFIhel09,10.107.255.32,Yes
rAWMAmco02,10.124.255.83,Yes
rDWFReck01,10.105.255.83,Yes
rAWFRmop09,10.105.255.74,Yes
rAWFRmey01,10.226.255.1,Yes
rAWFReck02,10.105.255.84,Yes
rDWFRleq01,10.105.255.78,Yes
rAWDEhoc05,10.102.255.123,Yes
rAWDEhoc01,10.102.255.6,Yes
rAWDEuhm09,10.102.255.118,Yes
rAWDEuhm01,10.102.255.3,Yes
rAWIEcas05,10.111.255.14,Yes
rAWDEuhm05,10.102.255.9,Yes
rAWIEcas01,10.111.255.8,Yes
rAWIEdub09,10.111.255.104,Yes
rAWIEdub05,10.111.255.105,Yes
rAWITgro01,10.108.255.30,Yes
rAWITfir01,10.108.255.58,Yes
rAWIEdub01,10.111.255.7,Yes
rAWMTmar01,10.124.255.1,Yes
rAWMTmar09,10.124.255.5,Yes
rAWNLutr01,10.112.255.30,Yes
rAWNLutr05,10.112.255.31,Yes
rAWNLutr09,10.112.255.32,Yes
rAWESmaa09,10.109.255.77,Yes
rAWESmaa01,10.109.255.75,Yes
rAWESsab02,10.109.255.65,Yes
rAWESsab01,10.109.255.64,Yes
rAWESval09,10.109.255.37,Yes
rAWESval05,10.109.255.34,Yes
rAWGBcom05,10.103.255.111,Yes
rAWESval01,10.109.255.27,Yes
rAWGBcom01,10.103.255.118,Yes
rAWCHsan01,10.106.255.34,Yes
rAWGBcom09,10.103.255.121,Yes
rAWGBnoa09,10.103.255.115,Yes
rAWGBsto01,10.103.255.130,Yes
rAWGBnoa01,10.103.255.114,Yes
rAWGBnoa05,10.103.255.143,Yes
rAWGBsto02,10.103.255.131,Yes
rAWGBtha09,10.103.255.70,Yes
rAWPTsin01,10.109.255.6,Yes
rAWPLwar02,10.99.255.49,Yes
rAWTNtun01,10.108.255.104,Yes
rAWGBmah01,10.117.255.16,Yes
rAWPLwar01,10.99.255.51,Yes
rAWCHcmp01,10.108.255.122,Yes
rDWFRguc01,10.112.255.64,Yes
rAWCHcmp02,10.108.255.123,Yes
rDWFRguc02,10.112.255.65,Yes
rAWFRguc09,10.112.255.66,Yes
rAWITson02,10.229.255.2,Yes
rAWITson01,10.229.255.1,Yes
rAWFRsml02,10.230.255.2,Yes
rAWFRsml01,10.230.255.1,Yes
rAWGBglo01,10.117.255.19,Yes
rAWGBglo09,10.117.255.20,Yes
rAWBEles05,10.101.255.5,Yes
rAWBEles02,10.101.255.2,Yes
rAWCHsan02,10.106.255.35,Yes
rAWFRleq02,10.105.255.79,Yes
rAWDEhaw05,10.102.255.108,Yes
rAWCHzur09,10.102.255.54,Yes
rAWDEhaw09,10.102.255.109,Yes
rIWDEfra06,192.168.255.206,Yes
rIWDEfra05,192.168.255.205,Yes
rIWNLams01,192.168.255.241,Yes
rAWILtav09,10.124.255.79,Yes
rIWNLams03,192.168.255.243,Yes
rAWIEswi09,10.111.255.61,Yes
rAWILtav01,10.124.255.78,Yes
rCWNLams21,10.120.255.21,Yes
rCWNLams25,10.120.255.25,Yes
rIWDEfra03,192.168.255.203,Yes
rAWIEswi01,10.111.255.62,Yes
rAWDEbie09,10.102.255.167,Yes
rAWITrom09,10.121.255.97,Yes
rAWITrom01,10.121.255.96,Yes
rAWDZhyr02,10.124.255.85,Yes
rAWDZhyr01,10.124.255.84,Yes
rAWGBtha01,10.103.255.65,Yes
rAWSAria01,10.99.255.113,Yes
rAWFRmey02,10.226.255.9,Yes
rAWSAria09,10.99.255.118,Yes
rAWDKsoo09,10.107.255.54,Yes
rAWDKsoo01,10.107.255.49,Yes
rAWESaba01,10.127.255.9,Yes
rAWSArid09,10.127.255.46,Yes
rAWSArid01,10.127.255.41,Yes
rAWGBlpl01,10.117.255.1,Yes
rAWGBlpl09,10.117.255.6,Yes
rAWESaba02,10.127.255.10,Yes
rAWCOboa01,10.64.255.11,SSH not supported
rALCNszh99,10.35.255.146,Not responding
rAWJPtoo09,10.32.2.9,SSH not supported
rAWEGcio01,10.111.255.107,Device muted
rAWEGcio09,10.111.255.108,Device muted
rAWITson09,10.229.255.9,No
rAWUSmed09,10.80.255.13,Yes
rAWUSmed01,10.80.255.9,Yes
rILUScar99,172.24.218.8,No 
rIWUScar01,172.24.255.251,Yes
rAWUScon99,172.24.205.5,No
rIWUScon01,172.24.255.248,Yes
rIWUScon02,172.24.255.249,Yes
rILUSenw99,172.24.255.250,No
rIWUSenw01,172.24.255.253,Yes
rALINcls06,10.40.255.56,No
rIWCNgua03,192.168.184.206,Yes
