
10.10.98.28,yes,no
10.10.98.29,yes,no
10.10.98.30,yes,no
10.103.198.6,yes,yes
10.103.26.10,yes,no
10.106.124.9,yes,no
10.115.167.7,yes,no
10.117.128.26,yes,no
10.117.192.26,yes,no
10.122.133.8,no,no
10.14.1.10,no,no
10.2.30.226,yes,no
10.2.30.5,yes,no
10.10.98.28,yes,no
10.10.98.29,yes,no
10.10.98.30,yes,no
10.103.198.6,yes,yes
10.103.26.10,yes,no
10.106.124.9,yes,no
10.115.167.7,yes,no
10.117.128.26,yes,no
10.117.192.26,yes,no
10.122.133.8,no,no
10.14.1.10,no,no
10.2.30.226,yes,no
10.2.30.5,yes,no
10.2.8.70, , 
10.2.84.30,no,no
10.225.135.87,no,no
10.32.228.7,yes,no
10.34.141.10,no,no
10.34.161.7,no,no
10.34.252.1,no,no
10.35.110.26,yes,no
10.35.127.35,no,no
10.35.147.29,yes,no
10.35.182.7,yes,no
10.35.252.78,no,no
10.35.36.26,yes,no
10.35.36.27,yes,no
10.35.44.26,yes,no
10.36.122.7, , 
10.36.159.31,no,no
10.36.196.32,no,no
10.36.2.7,yes,no
10.36.252.2,yes,no
10.37.74.7,yes,no
10.38.110.7,yes,no
10.39.104.27,yes,no
10.39.53.10,no,no
10.40.2.30,no,no
10.40.228.6,yes,no
10.44.40.26,yes,no
10.44.62.39,yes,no
10.46.136.9,no,no
10.46.140.6,no,no
10.46.148.6,no,no
10.46.152.6,no,no
10.46.156.6,no,no
10.46.164.6,no,no
10.46.168.6,no,no
10.46.172.6,no,no
10.46.176.6,no,no
10.46.180.6,no,no
10.46.186.26,yes,no
10.46.217.27,yes,yes
10.46.217.28,yes,yes
10.46.217.31,yes,yes
10.46.217.39,yes,no
10.49.66.27,no,no
10.49.90.9,no,no
10.55.12.27,yes,no
10.55.16.32,no,no
10.55.202.101,yes,no
10.58.16.26,no,no
10.58.166.26,yes,no
10.58.226.27,yes,no
10.60.80.51,no,no
10.60.92.55,no,no
10.61.2.67,no,no
10.62.24.26,yes,no
10.62.74.7,no,no
10.62.74.8,yes,no
10.65.66.74,no,no
10.66.22.9,yes,no
10.67.252.2,no,no
10.69.70.27,yes,no
10.7.4.15,yes,no
10.70.180.29,yes,no
10.70.180.7,no,no
10.70.206.26,yes,no
10.70.24.6,yes,no
10.70.6.26,yes,no
10.70.6.28,yes,no
10.70.6.6,no,no
10.71.52.26,yes,no
10.80.6.27,no,no
10.97.138.8,no,no
10.98.199.25,yes,no
10.98.40.26,yes,no
10.98.55.6,yes,no
172.29.56.18, , 
192.168.212.99, , 
192.168.214.97, , 
10.223.176.1,no,no
10.225.14.32,yes,no
10.40.252.254,no,no
10.32.140.30,yes,no
10.188.91.65,no,no
10.32.252.222,no,no
10.147.15.210,no,no
10.48.192.153,no,no
10.10.1.23,no,no
10.80.42.40,yes,no
10.48.192.139,no,no
10.160.32.49,no,no
10.35.213.64,yes,no
172.16.10.9, , 
172.30.135.200, , 
10.48.196.62,no,no
10.160.32.160,yes,no
10.19.126.43,yes,no
10.225.14.31,yes,no
10.19.126.59,yes,no
10.19.121.40,no,no
10.101.220.8,no,no
10.58.16.30,no,no
10.60.36.36,no,no
10.48.192.150,no,no
10.5.86.65,no,no
172.31.76.70, , 
10.48.192.130,no,no
192.168.140.100, , 
10.48.192.143,no,no
10.18.8.74,yes,no
10.7.4.229,yes,no
10.176.118.129,no,no
10.1.15.241,no,no
172.16.22.102, , 
172.16.22.101, , 
10.5.86.64,no,no
10.181.100.33,no,no
192.168.1.1, , 
192.168.90.99, , 
10.188.88.1,no,no
10.19.138.54,yes,no
10.48.192.146,yes,no
172.16.22.84, , 
